rank,headword,part of speech,frequency,dispersion
1,bir,det,1402146,0.96
2,ol,v,1312151,0.98
3,ve,conj,1178818,0.94
5,da,adv,881669,0.97
6,et,v/n,511423,0.97
8,yap,v,358192,0.97
9,al,v,312199,0.97
12,gel,v,285485,0.96
13,için,posp,282208,0.95
14,çok,det,261699,0.95
15,ver,v,236298,0.98
16,ne,n,243489,0.92
17,daha,adv,227608,0.98
18,gibi,posp,231717,0.96
19,gör,v,216069,0.97
22,var,n/v,211317,0.92
23,çık,v,198227,0.97
24,ile,conj,202389,0.92
26,yer,n,182309,0.97
27,bul,v,179439,0.97
28,iç,n/v,178382,0.96
29,ama,conj,176269,0.91
30,zaman,n,160656,0.96
31,her,det,160771,0.96
32,şey,n,167699,0.89
33,kadar,posp,154881,0.96
34,ara,n/v,191249,0.96
35,git,v,156933,0.92
36,en,adv/n,148762,0.97
37,yıl,n,154813,0.92
38,değil,n,149658,0.96
39,çalış,v,150234,0.95
40,evrak,n,1302,0.90
40,iste,v,147628,0.95
41,geç,v/adv,142923,0.96
42,bil,v,146004,0.94
44,gün,n,136776,0.95
45,insan,n,140522,0.92
46,anla,v,134073,0.95
47,ya,conj,134512,0.90
48,el,n,124409,0.96
50,kal,v,121834,0.96
51,söyle,v,123725,0.94
52,bak,v,127182,0.90
53,yok,n,123810,0.92
54,ye,v,116309,0.97
55,başla,v,114750,0.96
56,konu,n,117968,0.93
57,yeni,adj,111485,0.96
58,i,v,114616,0.93
60,iş,n,105363,0.96
61,önce,adv,102311,0.98
62,son,n,102207,0.97
63,yan,n/v,100925,0.96
64,üzeri,n,98790,0.96
65,büyük,adj,95501,0.97
66,yaşa,v,96717,0.95
67,baş,n,95481,0.95
68,yol,n/v,92301,0.96
69,neden,n/adv,91434,0.95
70,çocuk,n,93583,0.92
72,gir,v,85569,0.97
73,ülke,n,93600,0.89
74,kullan,v,90836,0.91
75,yüz,n/v,90361,0.91
76,dünya,n,86510,0.95
77,gerek,v/n,86896,0.95
79,durum,n,83987,0.94
80,orta,n,83343,0.94
81,düşün,v,82875,0.95
82,getir,v,79260,0.96
83,iyi,adj,81848,0.93
84,göre,posp,82163,0.92
85,böyle,adv,83266,0.91
86,aç,v/adj,76768,0.97
87,taraf,n,77391,0.94
88,yaz,v/n,77838,0.92
89,göster,v,75484,0.95
90,ev,n,78019,0.91
91,kadın,n,77944,0.91
92,hal,n,73630,0.96
93,göz,n,77751,0.90
94,alan,n,76651,0.91
95,aynı,adj,71489,0.97
96,önemli,adj,74563,0.93
97,hiç,adv,74773,0.92
98,yani,conj,84656,0.81
99,bura,n,73101,0.93
100,söz,n,70618,0.96
101,ilk,det,71855,0.94
102,doğru,adj/posp,69340,0.97
104,oluş,v/n,73917,0.90
105,ancak,conj,71221,0.93
107,birlik,n,68976,0.95
108,şekil,n,70943,0.93
109,başka,det,60061,0.97
110,bütün,det,66248,0.96
111,nasıl,adv,67388,0.94
113,ön,n,63123,0.96
114,çek,v/n,63547,0.95
115,devlet,n,68132,0.87
